dataset,size,algorithm,time_us,char_ops,sorted
reverse_sorted,200,string_merge_sort,29,2275,yes
reverse_sorted,200,msd_radix_sort,34,976,yes
reverse_sorted,200,msd_radix_quick_sort,10,3665,yes
reverse_sorted,300,standard_quick_sort,93,50584,yes
reverse_sorted,300,standard_merge_sort,49,2239,yes
reverse_sorted,300,string_quick_sort,6,4996,yes
reverse_sorted,300,string_merge_sort,47,3547,yes
reverse_sorted,300,msd_radix_sort,48,1438,yes
reverse_sorted,300,msd_radix_quick_sort,16,5535,yes
reverse_sorted,400,standard_quick_sort,159,87809,yes
reverse_sorted,400,standard_merge_sort,64,3196,yes
reverse_sorted,400,string_quick_sort,9,6997,yes
reverse_sorted,400,string_merge_sort,65,5020,yes
reverse_sorted,400,msd_radix_sort,61,1910,yes
reverse_sorted,400,msd_radix_quick_sort,22,7655,yes
reverse_sorted,500,standard_quick_sort,249,134708,yes
reverse_sorted,500,standard_merge_sort,86,3854,yes
reverse_sorted,500,string_quick_sort,11,9001,yes
reverse_sorted,500,string_merge_sort,88,6126,yes
reverse_sorted,500,msd_radix_sort,78,2394,yes
reverse_sorted,500,msd_radix_quick_sort,28,9402,yes
reverse_sorted,600,standard_quick_sort,349,191746,yes
reverse_sorted,600,standard_merge_sort,107,4920,yes
reverse_sorted,600,string_quick_sort,15,12583,yes
reverse_sorted,600,string_merge_sort,105,7836,yes
reverse_sorted,600,msd_radix_sort,95,2886,yes
reverse_sorted,600,msd_radix_quick_sort,34,11281,yes
reverse_sorted,700,standard_quick_sort,470,258572,yes
reverse_sorted,700,standard_merge_sort,126,5909,yes
reverse_sorted,700,string_quick_sort,18,14789,yes
reverse_sorted,700,string_merge_sort,131,9413,yes
reverse_sorted,700,msd_radix_sort,110,3342,yes
reverse_sorted,700,msd_radix_quick_sort,39,13136,yes
reverse_sorted,800,standard_quick_sort,611,335643,yes
reverse_sorted,800,standard_merge_sort,146,6838,yes
reverse_sorted,800,string_quick_sort,23,18286,yes
reverse_sorted,800,string_merge_sort,154,10886,yes
reverse_sorted,800,msd_radix_sort,124,3806,yes
reverse_sorted,800,msd_radix_quick_sort,46,15162,yes
reverse_sorted,900,standard_quick_sort,786,422691,yes
reverse_sorted,900,standard_merge_sort,172,7522,yes
reverse_sorted,900,string_quick_sort,28,21222,yes
reverse_sorted,900,string_merge_sort,169,12094,yes
reverse_sorted,900,msd_radix_sort,142,4300,yes
reverse_sorted,900,msd_radix_quick_sort,57,17167,yes
reverse_sorted,1000,standard_quick_sort,958,519657,yes
reverse_sorted,1000,standard_merge_sort,193,8323,yes
reverse_sorted,1000,string_quick_sort,31,25523,yes
reverse_sorted,1000,string_merge_sort,192,13367,yes
reverse_sorted,1000,msd_radix_sort,158,4772,yes
reverse_sorted,1000,msd_radix_quick_sort,59,19182,yes
reverse_sorted,1100,standard_quick_sort,1137,627041,yes
reverse_sorted,1100,standard_merge_sort,215,9329,yes
reverse_sorted,1100,string_quick_sort,38,29389,yes
reverse_sorted,1100,string_merge_sort,228,15061,yes
reverse_sorted,1100,msd_radix_sort,172,5270,yes
reverse_sorted,1100,msd_radix_quick_sort,65,21110,yes
reverse_sorted,1200,standard_quick_sort,1345,743844,yes
reverse_sorted,1200,standard_merge_sort,239,10440,yes
reverse_sorted,1200,string_quick_sort,39,32778,yes
reverse_sorted,1200,string_merge_sort,228,16872,yes
reverse_sorted,1200,msd_radix_sort,176,5744,yes
reverse_sorted,1200,msd_radix_quick_sort,65,22937,yes
reverse_sorted,1300,standard_quick_sort,1577,871386,yes
reverse_sorted,1300,standard_merge_sort,264,11566,yes
reverse_sorted,1300,string_quick_sort,44,37232,yes
reverse_sorted,1300,string_merge_sort,257,18638,yes
reverse_sorted,1300,msd_radix_sort,203,6230,yes
reverse_sorted,1300,msd_radix_quick_sort,76,25189,yes
reverse_sorted,1400,standard_quick_sort,1862,1008399,yes
reverse_sorted,1400,standard_merge_sort,282,12511,yes
reverse_sorted,1400,string_quick_sort,55,42284,yes
reverse_sorted,1400,string_merge_sort,284,20219,yes
reverse_sorted,1400,msd_radix_sort,223,6706,yes
reverse_sorted,1400,msd_radix_quick_sort,87,27206,yes
reverse_sorted,1500,standard_quick_sort,2127,1155120,yes
reverse_sorted,1500,standard_merge_sort,313,13315,yes
reverse_sorted,1500,string_quick_sort,58,46511,yes
reverse_sorted,1500,string_merge_sort,310,21603,yes
reverse_sorted,1500,msd_radix_sort,237,7168,yes
reverse_sorted,1500,msd_radix_quick_sort,89,29018,yes
reverse_sorted,1600,standard_quick_sort,2420,1311881,yes
reverse_sorted,1600,standard_merge_sort,335,14375,yes
reverse_sorted,1600,string_quick_sort,64,51048,yes
reverse_sorted,1600,string_merge_sort,339,23271,yes
reverse_sorted,1600,msd_radix_sort,253,7630,yes
reverse_sorted,1600,msd_radix_quick_sort,96,30860,yes
reverse_sorted,1700,standard_quick_sort,2746,1478788,yes
reverse_sorted,1700,standard_merge_sort,364,15078,yes
reverse_sorted,1700,string_quick_sort,71,56671,yes
reverse_sorted,1700,string_merge_sort,365,24594,yes
reverse_sorted,1700,msd_radix_sort,268,8110,yes
reverse_sorted,1700,msd_radix_quick_sort,104,32770,yes
reverse_sorted,1800,standard_quick_sort,3058,1655631,yes
reverse_sorted,1800,standard_merge_sort,386,15966,yes
reverse_sorted,1800,string_quick_sort,78,62375,yes
reverse_sorted,1800,string_merge_sort,385,26010,yes
reverse_sorted,1800,msd_radix_sort,284,8588,yes
reverse_sorted,1800,msd_radix_quick_sort,108,34485,yes
reverse_sorted,1900,standard_quick_sort,3415,1842501,yes
reverse_sorted,1900,standard_merge_sort,416,16756,yes
reverse_sorted,1900,string_quick_sort,86,67890,yes
reverse_sorted,1900,string_merge_sort,417,27364,yes
reverse_sorted,1900,msd_radix_sort,302,9056,yes
reverse_sorted,1900,msd_radix_quick_sort,114,36349,yes
reverse_sorted,2000,standard_quick_sort,3820,2039479,yes
reverse_sorted,2000,standard_merge_sort,440,17521,yes
reverse_sorted,2000,string_quick_sort,96,74645,yes
reverse_sorted,2000,string_merge_sort,444,28609,yes
reverse_sorted,2000,msd_radix_sort,323,9536,yes
reverse_sorted,2000,msd_radix_quick_sort,121,38293,yes
reverse_sorted,2100,standard_quick_sort,4291,2246149,yes
